chunk_id,source,page,character_length,content
1,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,1,725,"PENGUATAN AKUNTABILITAS WAKAF 
(Ilustrasi pada Kasus Wakaf Uang dan Wakaf Saham) 
 
 
Jadzil Baihaqi1*, Makrufah Hidayah Islamiah2, Muhammad Aris Munandar3 
1 2 3 Institut Agama Islam Negeri Kudus 
*Penulis Korespondensi 
1 jadzilbaihaqi@iainkudus.ac.id* 
2 makrufah.islamiah@gmail.com 
3 arismahyadi@gmail.com 
 
 
ABSTRACT 
 
Accountability is still a weakness in the management of Waqf. Not all Nazirs can 
apply PSAK 112 Waqf Accounting as a standard in preparing financial reports for 
waqf management. Education and technical guidance are needed to nazirs, 
especially Nazir waqf money (including cash waqf) which is currently very large 
potential. This study provide an experience in applying PSAK 112 on waqf in waqf"
2,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,1,747,"transactions. After Nazir is able to mak e the correct waqf financial statements, it 
will makes public more interested in disbursing the money because the waqf is 
managed accountably and transparently. The purpose of this study is to provide 
an illustration of the application of PSAK 112 Accountin g Waqf in cash waqf and 
share waqf transactions. This study uses a literature study methodology. This 
research results in making illustrations of journals and financial reports on 
transactions of cash waqf and share Waqf following the criteria for recognit ion, 
measurement, and presentation in a financial statement based on PSAK 112 
Accounting Waqf. 
 
Keywords: Accountability; Cash Waqf; Share Waqf; Waqf Accounting; PSAK 112 
 
ABSTRAK"
3,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,1,738,"ABSTRAK 
 
Akuntabilitas masih menjadi kelemahan dalam pengelolaan wakaf. Tidak semua 
Nazir mampu menerapkan PSAK 112 tentang Akuntansi Wakaf sebagai standar 
dalam menyusun laporan keuangan pengelolaan wakaf. Diperlukan upaya 
edukasi dan bimbingan teknis kepada para Nazir khususnya Nazir wakaf uang 
(termasuk wakaf saham) yang saat ini poten sinya sangat besar. Penelitian ini 
diharapkan mampu memberikan sebuah pengalaman dalam menerapkan PSAK 
112 tentang wakaf pada transaksi wakaf. Setelah Nazir mampu membuat 
laporan keuangan wakaf yang benar, maka diharapkan masyarakat lebih 
tertarik mewakafkan uangnya karena wakaf dikelola dengan akuntabel dan 
transparan. Tujuan dari penelitian ini adalah memberikan ilustrasi penerapan"
4,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,1,563,"transparan. Tujuan dari penelitian ini adalah memberikan ilustrasi penerapan 
PSAK 112 tentang Akuntansi Wakaf pada transaksi wakaf uang dan wakaf 
saham. Penelitian ini menggunakan pendekatan studi literatur. Hasil penelitian 
ini berupa ilustrasi pembuatan jurnal dan laporan keuangan atas transaksi -
transaksi wakaf uang dan wakaf saham yang sesuai dengan kriteria pengakuan, 
pengukuran, penilaian dan penyajian dalam laporan keuangan berdasarkan 
PSAK 112 tentang Akuntansi Wakaf. 
 
Kata Kunci: Akuntabilitas; Wakaf Uang; Wakaf Saham; Akuntansi Wakaf; PSAK"
5,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,2,757,"A. PENDAHULUAN 
Tren wakaf uang saat ini sedang naik. Namun, keraguan masyarakat atas 
akuntabilitas dan transparansi pengelolaannya masih menjadi permasalahan 
dalam wakaf uang di Indonesia. Kelemahan dalam akuntabilitas ini menjadikan 
wakaf uang tidak maksimal. Tahun 2019, realisasi wakaf uang hanya Rp 400 
milyar, padahal pote nsinya mencapai Rp 188 triliyun (Zuraya & Intan, 2019) . 
Nazir menjadi pihak yang sangat vit al dalam pengelolaan wakaf uang 
(Prasinanda & Widia stuti, 2020) . Kepercayaan kepada Nazir menjadi faktor 
penting dalam mem engaruhi intensi dalam menunaikan wakaf uang (Nuraini, 
Takidah, & Fauzi, 2018). Oleh karena itu, dibutuhkan Nazir yang kompeten dan 
profesional dalam mengelola dan mengembangkan aset wakaf uang. Faktor"
6,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,2,773,"profesional dalam mengelola dan mengembangkan aset wakaf uang. Faktor 
akuntabilitas menjadi kriteria yang paling berpengaruh dalam strategi 
pengembangan wakaf uang (Wulandari, Effendi, & Saptono, 2019). 
Wakaf uang saat ini dipandang sangat potensial dalam menciptakan 
kesejahteraan ekonomi dan mampu memberikan kontribusi dalam 
pembangunan ekonomi yang diharapkan dapat mengurangi kemiskinan dan 
meningkatkan kesejahteraan masyarakat (Berakon & Irsad, 2017) . Data Sistem 
Informasi Wakaf K emenag RI Tahun 2019 menyebutkan luas tanah wakaf di 
Indonesia mencapai 50.114 Ha yang tersebar pada 371.080 lokasi. Dari luas 
tersebut, 73% aset wakaf hanya untuk tempat ibad ah dan belum bersifat 
produktif (Juwaini, Budiarto, Afif, & Amrial, 2019) . Dana wakaf uang dapat"
7,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,2,794,"produktif (Juwaini, Budiarto, Afif, & Amrial, 2019) . Dana wakaf uang dapat 
digunakan untuk membiayai proyek -proyek strategis dalam rang ka 
memanfaatkan aset wakaf tidak bergerak yang tidak produktif menjadi 
produktif. 
Dalam hal pengumpulan wakaf uang, sudah tidak ada lagi kendala di era 
digital saat ini. telah banyak tersedia kanal pembayaran melalui internet 
banking. Jumlah Nazir wakaf ua ng juga semakin banyak. Data Badan Wakaf 
Indonesia per Juli 2020 menyebutkan jumlah Nazir wakaf uang sebanyak 254 
Nazir yang tersebar di seluruh I ndonesia. Selain itu, instrumen untuk 
penyaluran wakaf uang juga semakin bervariasi yang didukung penuh oleh 
pemerintah seperti Cash Waqf Linked Sukuk (CWLS) dan Surat Berharga 
Syariah Negara (SBSN). Maka saat ini masalahnya adalah bagaimana"
8,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,2,769,"Syariah Negara (SBSN). Maka saat ini masalahnya adalah bagaimana 
merealisasikan potensi wakaf uang yang sangat besar. 
Di masa yang akan datang, potensi wakaf uang yang besar optimis dapat 
diraih. Saat ini masyarakat Indonesia sudah mulai meningkat literasi 
keuangannya. Ditandai dengan jumlah investor ritel pasar modal telah 
mencapai tiga juta per desember 2020 (Qolbi & Hidayat, 2020) . Lebih spesifik, 
masyarakat juga semakin berminat terhadap produk syariah. Data 
menyebutkan pangsa pasar investor syariah terhadap total investor saha m 
sebesar 5,7% per Oktober 2020 (Ulfah, 2020) . Dengan ini, masyarakat hanya 
perlu diedukasi dan diyakinkan bahwa wakaf uang (termasuk wakaf saham) 
dapat menjadi solusi kesejahteraan ekonomi masyarakat secara menyeluruh."
9,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,2,428,"dapat menjadi solusi kesejahteraan ekonomi masyarakat secara menyeluruh. 
Dalam hal hukum, wak af uang saat ini sudah tidak perlu diperdebatkan 
lagi. Dengan terbitnya Fatwa MUI Tahun 2002 tentang wakaf uang dan 
disahkannya UU Nomor 41 Tahun 2004 tentang Wakaf telah menjadikan wakaf 
uang mendapat legalitas yang kuat di Indonesia. Selama dua puluh tah un 
terakhir wakaf uang telah berkembang, namun masih terdapat kekurangan"
10,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,3,729,"pengaturan sehingga semua kekosongan regulasi dapat dipenuhi. Salah satu 
regulasi yang belum ada adalah terkait standarisasi akuntansi atas wakaf. 
Hingga pada tahun 2018 akhirnya IAI mengesahkan PSAK 112 tentang Wakaf. 
Sebelum terbitnya PSAK 112 tentang wakaf, telah ada penelitian yang 
membahas pentingnya akuntabilitas dalam pengelolaan wakaf. Mulyasari (2017) 
mengusulkan sebuah model sistem akuntansi wakaf sebagai bentuk 
pertanggungjawaban harta wakaf ke publik . Mulyasari (2017) mengusulkan 
adanya sistem pencatatan yang sesuai dengan prinsip akuntansi syariah dan 
adanya au dit atas laporan keuangan wakaf. Wuryaningsih & Hidayah (2016) 
telah melakukan evaluasi sistem informasi akuntansi pada Pusat Kajian Zakat"
11,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,3,745,"telah melakukan evaluasi sistem informasi akuntansi pada Pusat Kajian Zakat 
dan Wakaf di Malang. Hasil evaluasinya menunjukkan bahwa pencatatan dan 
kebijakan akuntansi belum dilaksanakan dengan benar. Lebih detail, Yollanda 
& Adnan (2018) menyatakan bahwa hadirnya Standar Akuntansi Wakaf sangat 
diperlukan karena Buku Pedoman Akuntansi Wakaf yang diterbitkan Badan 
Wakaf Indonesia (BWI) tahun 2016 tidak dapat diterapkan pada semua l embaga 
wakaf di Indonesia. 
Setelah disahkannya PSAK 112 tentang Wakaf, belum ada penelitian yang 
membahas bagaimana implementasi PSAK tersebut pada pengelola wakaf. 
Selain karena baru diwajibkan untuk digunakan mulai 1 Januari 2021, tidak 
semua Nazir mampu menerapkannya. Diperlukan upaya edukasi dan"
12,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,3,789,"semua Nazir mampu menerapkannya. Diperlukan upaya edukasi dan 
bimbingan teknis kepada para Nazir khususnya Nazir wakaf uang (termasuk 
wakaf saham) yang saat ini potensinya sangat besar. Penelitian ini diharapkan 
mampu memberikan sebuah pengalaman dalam menerapkan PSAK 112 tentang 
wakaf pada transaksi wakaf. Setelah Nazir mampu membuat laporan keuangan 
wakaf yang benar, maka diharapkan masyarakat lebih tertarik mewakafkan 
uangnya karena wakaf dikelola dengan akuntabel dan transparan. Harapan 
wakaf dapat meningkatkan kesejahteraan masyarakat dapat terpenuhi. 
 
B. TINJAUAN PUSTAKA 
 
B.1. Sharia Enterprise Theory Dalam Akuntansi Wakaf 
Dalam akuntansi konvensional yang sudah mapan, terdapat dua teori 
yang menjelaskan kepemilikan dalam perusahaan, the proprietary theory dan"
13,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,3,760,"yang menjelaskan kepemilikan dalam perusahaan, the proprietary theory dan 
the entity theory . The proprietary theory fokus pada pemilik atau stockholder. 
Dengan persamaan Aset - Liabilitas = Capital, teori ini menggambarkan 
stockholder sebagai klaim residual atau aset bersih. Sedangkan the entity theory 
fokus pada sumber daya. Dengan persamaan Aset = Liabilitas + Capital, teori ini 
lebih pas digunakan dengan pendekatan manajemen. Teori ini melihat satu 
kesatuan unit dan melihat kewajiban kepada kreditur dan pemilik secara 
bersama-sama sebagai pusat perhatian dan fokus utama pada a kuntansi 
(Umar, Indriani, & Purba, 2019) . Kedua teori ini hanya melihat dari sisi 
kepentingan bisnis (profit dan stockholder), tidak melibatkan etika, masyarakat,"
14,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,3,386,"dan agama. Tentu tidak salah karena teori tersebut lahir dari Barat dengan 
paham sekulernya. 
Triyuwono (2001) mengusulkan sharia enterprise theory yang berorientasi 
pada pemberian informasi kepada stakeholder dan natural environment sebagai 
wujud pertanggungjawaban kepada Tuhan, manusia, dan alam. Teori ini 
mengkritik Entity theory yang berorientasi pada profit dan stakeholders."
15,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,4,760,"Sedangkan Sharia enterprise theory berorientasi pada sosial dalam bentuk 
zakat. Lebih lanjut teori ini mengusung spirit bahwa Allah adalah sumber 
amanah dan pemilik mutlak dunia dan seisinya. 
Wakaf sebagai ibadah sosial yang berkaitan dengan tanggung jawab 
pengelolaan aset seharusnya memil iki spirit yang sama dengan the sharia 
enterprise theory . Nazir sebagai pihak pengelola harus memiliki spirit 
akuntabilitas yang tidak hanya bertanggungjawab kepada wakif (orang yang 
berwakaf), tetapi juga bertanggung jawab kepada Allah SWT. Aset wakaf seb agai 
sumber daya umat harus dikelola dengan baik dan benar untuk mewujudkan 
kesejahteraan sosial. 
 
B.2. PSAK 112 Sebagai Pedoman 
Nazir menjadi pihak yang sangat penting dalam pengelolaan wakaf. Dalam"
16,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,4,747,"Nazir menjadi pihak yang sangat penting dalam pengelolaan wakaf. Dalam 
UU Nomor 41 Tahun 2004, Nazir memiliki tugas yaitu melakukan administrasi 
harta benda wakaf, mengelola dan mengembangkan harta benda wakaf sesuai 
dengan tujuan, fungsi, dan peruntukannya, mengawasi dan melindungi harta 
benda wakaf, dan melaporkan pelaksanaan tugas kepada Badan Wakaf 
Indonesia. Untuk mendukung tugas tersebut, diperlukan mekanisme 
pembukuan yang terstandar sebagai petunjuk. 
Untuk merespon kebutuhan standar pembukuan wakaf, IAI telah 
menerbitkan PSAK 112 tentang Akuntansi Wakaf yang bertujuan untuk 
mengatur pengakuan, pe ngukuran, penyajian, dan pengungkapan transaksi 
wakaf. Transaksi atau kejadian terkait wakaf meliputi penerimaan, pengelolaan"
17,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,4,748,"wakaf. Transaksi atau kejadian terkait wakaf meliputi penerimaan, pengelolaan 
dan pengembangan aset wakaf, serta penyaluran manfaat dari aset wakaf yang 
dikelola oleh Nazir. Dalam PSAK 112 ini, terdapat pembatasan terhadap Nazir 
perseorangan yang tidak diwajibkan mengikuti ketentuan PSAK ini, namun 
boleh diterapkan oleh Nazir perorangan. 
Kegiatan penerimaan, pengelolaan dan pengembangan wakaf, dan 
penyaluran wakaf merupakan suatu entitas pelaporan atau entitas wakaf. 
Entitas wakaf harus menyusun laporan keuangan tersendiri dan tidak 
mengkonsolidasikan dengan laporan keuangan organisasi atau lembaga Nazir. 
Laporan keuangan entitas wakaf juga tidak diperbolehkan dikonsolidasika n 
dengan laporan keuangan entitas anaknya. 
Pengakuan"
18,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,4,746,"dengan laporan keuangan entitas anaknya. 
Pengakuan 
Nazir dapat mengakui aset wakaf awal ketika memiliki kendali secara 
hukum dan fisik (manfaat ekonomi) atas aset wakaf. Dasar pengakuannya 
adalah akta ikrar wakaf. Aset wakaf belum bisa diakui pada saat w asiat wakaf 
dan janji ( wa’d) wakaf. Selain itu, Nazir juga harus memisahkan setiap jenis 
aset wakaf seperti kas, surat berharga, tanah, dan bangunan. Selain itu, bisa 
juga aset wakaf yang spesifik berasal dari manfaatnya seperti hasil panen kebun 
sawit, bu kan dalam kebun sawit. Selain pengakuan aset wakaf untuk wakaf 
permanen, khusus untuk wakaf uang yang berjangka waktu (temporer) diakui 
sebagai liabilitas yang wajib dikembalikan kepada wakif pada saat wakaf telah 
selesai."
