kategori,jenis,source,total_halaman,halaman_dibuang,halaman_final,baris_header_footer_terdeteksi,panjang_teks_akhir,error
kurban,literasi,Panduan Fikih Kurban - PWNU Kediri.pdf,44,2,42,0,25449,
kurban,regulasi,FATWA MUI NO.37 Tahun 2019 TENTANG PENGAWETAN DAN PENDRISTIBUSIAN DAGING KURBAN DALAM BENTUK OLAHAN.pdf,7,0,7,1,10488,
kurban,regulasi,Permentan Nomor 114 Tahun 2014.pdf,19,0,19,2,28885,
wakaf,literasi,WKF-LIT-01_Panduan-Wakaf-Kemenag-2013.pdf,169,3,166,1,230532,
wakaf,literasi,WKF-LIT-02_Definisi-Wakaf-Uang-BWI.pdf,3,0,3,0,3647,
wakaf,literasi,WKF-LIT-03_Jenis-Harta-Benda-Wakaf-BWI.pdf,2,0,2,0,2944,
wakaf,literasi,WKF-LIT-04_Kisah-Inspirasi-Abu-Thalhah-Wakaf-BWI.pdf,1,0,1,0,1891,
wakaf,literasi,WKF-LIT-05_Pelaporan-Nazhir-BWI.pdf,2,0,2,0,3325,
wakaf,literasi,WKF-LIT-06_Pendaftaran-Nazhir-BWI.pdf,4,0,4,2,6829,
wakaf,literasi,WKF-LIT-07_Pengertian-Harta-Benda-Wakaf-BWI.pdf,2,0,2,0,3128,
wakaf,literasi,WKF-LIT-08_Pengertian-Nazhir-Wakaf-BWI.pdf,1,0,1,0,2997,
wakaf,literasi,WKF-LIT-09_Pengertian-Wakaf-BWI.pdf,3,0,3,0,7167,
wakaf,literasi,WKF-LIT-10_Pengertian-Wakif-BWI.pdf,2,0,2,0,2956,
wakaf,literasi,WKF-LIT-11_Penggantian-Nazhir-BWI.pdf,2,0,2,0,3328,
wakaf,literasi,WKF-LIT-12_Perbedaan-Wakaf-Uang-dan-Wakaf-BWI.pdf,1,0,1,0,1219,
wakaf,literasi,WKF-LIT-13_Perbedaan-Wakaf-Zakat-Infak-dan-BWI.pdf,1,0,1,0,1080,
wakaf,literasi,WKF-LIT-14_Persyaratan-Pendaftaran-Nazhir-BWI.pdf,2,0,2,0,2541,
wakaf,literasi,WKF-LIT-15_Sejarah-Awal-Mula-Wakaf-BWI.pdf,1,0,1,0,2398,
wakaf,literasi,WKF-LIT-16_Sejarah-Perkembangan-Wakaf-BWI.pdf,3,0,3,0,11015,
wakaf,literasi,WKF-LIT-17_Sengketa-Nazhir-BWI.pdf,2,0,2,0,3678,
wakaf,literasi,WKF-LIT-18_Syarat-dan-Ketentuan-Nazhir-BWI.pdf,1,0,1,0,2171,
wakaf,literasi,WKF-LIT-19_Tata-Cara-Berwakaf-Tanah-BWI.pdf,1,0,1,0,1153,
wakaf,literasi,WKF-LIT-20_Tukar-Menukar-Harta-Benda-Wakaf-BWI.pdf,2,0,2,0,3231,
wakaf,literasi,WKF-LIT-21_Wakaf-Produktif-Di-Zaman-Rasulullah-BWI.pdf,3,0,3,0,6700,
wakaf,literasi,WKF-LIT-22_Wakaf-Sumur-Sahabat-Utsman-bin-Affan-BWI.pdf,2,0,2,0,4002,
wakaf,literasi,WKF-LIT-23_Wakaf-Uang-di-Indonesia-BWI.pdf,2,0,2,0,3283,
wakaf,regulasi,WKF-REG-01_FatwaMUI-2-2002.pdf,8,0,8,0,10578,
wakaf,regulasi,WKF-REG-02_UU-41-2004.pdf,40,0,40,3,35903,
wakaf,regulasi,WKF-REG-03_PP-42-2006.pdf,47,0,47,1,56622,
wakaf,regulasi,WKF-REG-04_PBWI-1-2008.pdf,7,0,7,1,13866,
wakaf,regulasi,WKF-REG-05_PBWI-3-2008.pdf,5,0,5,1,8422,
wakaf,regulasi,WKF-REG-06_Kepdirjen-dj-ii-420-2009.pdf,25,1,24,0,17395,
wakaf,regulasi,WKF-REG-07_Permenag-4-2009.pdf,7,0,7,0,9051,
wakaf,regulasi,WKF-REG-08_PBWI-1-2009.pdf,10,0,10,1,17771,
wakaf,regulasi,WKF-REG-09_PBWI-2-2010.pdf,4,0,4,1,5243,
wakaf,regulasi,WKF-REG-10_PBWI-3-2012.pdf,6,0,6,0,6243,
wakaf,regulasi,WKF-REG-11_Permenag-73-2013.pdf,20,0,20,0,23255,
wakaf,regulasi,WKF-REG-12_Permen-2-2017.pdf,18,2,16,1,22983,
wakaf,regulasi,WKF-REG-13_PP-25-2018.pdf,12,0,12,0,13312,
wakaf,regulasi,WKF-REG-14_Kepdirjen-659-2018.pdf,31,0,31,0,30222,
wakaf,regulasi,WKF-REG-15_PBWI-3-2020.pdf,5,0,5,0,5132,
wakaf,regulasi,WKF-REG-16_PBWI-1-2020.pdf,21,0,21,0,25748,
wakaf,regulasi,WKF-REG-17_PBWI-1bp-2021.pdf,10,0,10,0,10226,
wakaf,regulasi,WKF-REG-18_PBWI-01-2021.pdf,28,0,28,0,28532,
wakaf,regulasi,WKF-REG-19_PBWI-2-2021.pdf,16,16,0,0,0,
wakaf,regulasi,WKF-REG-20_Kepdirjen-564-2022.pdf,16,0,16,0,18374,
wakaf,regulasi,WKF-REG-21_Kepdirjen-565-2022.pdf,33,1,32,0,17675,
zakat-infak-sedekah,literasi,ZKT-LIT-01_Kajian-Nisab-Zakat-BAZNAS-2026.pdf,58,1,57,2,108059,
zakat-infak-sedekah,literasi,ZKT-LIT-02_Buku-Panduan-ZIS-lengkap-BAZNAS.pdf,71,2,69,1,94975,
zakat-infak-sedekah,regulasi,ZKT-REG-01_MUI-03-2003.pdf,5,0,5,0,5147,
zakat-infak-sedekah,regulasi,ZKT-REG-02_UU-23-2011.pdf,29,0,29,1,25486,
zakat-infak-sedekah,regulasi,ZKT-REG-03_Permenag-52-2014.pdf,14,0,14,1,17371,
zakat-infak-sedekah,regulasi,ZKT-REG-04_PP-14-2014.pdf,52,0,52,1,51464,
zakat-infak-sedekah,regulasi,ZKT-REG-05_Permenag-69-2015.pdf,6,0,6,3,5703,
zakat-infak-sedekah,regulasi,ZKT-REG-06_BAZNAS-3-2018.pdf,14,0,14,1,16695,
zakat-infak-sedekah,regulasi,ZKT-REG-07_Permenag-31-2019.pdf,4,0,4,3,4214,
